"TrapID" "Locality.name.on.label" "Country" "Province" "Province.abbreviation" "County" "Parish" "Locality" "Complete.locality.name" "Latitude" "Longitude" "GPS.precision" "Biogeographic.region" "Method" "Habitat" "Habitat.class" "Trap.head.direction" "Altitude.m.s.l." "Vegetation" "Running.period.start" "Running.period.end" "Number.of.samples"
"43" 44 "Ån Skuleskogen" "Sweden" "Ångermanland" "Ån" "Örnsköldsviks kommun" "Vibyggerå socken" "Skuleskogen NP, Långrå" "SE, Ån, Örnsköldsviks kommun, Vibyggerå socken, Skuleskogen NP, Långrå" 63.088717 18.498383 "10 m" "boreal" "Malaise trap, Townes model" "Rocky brook ravine in old-growth spruce-aspen forest" "Forest: coniferous forest" "252°" 28 "Alnus glutinosa, Anemone hepatica, Betula pendula, Convallaria majalis, Dryopteris filixmas, Equisetum sylvaticum, Maianthemum bifolium, Picea abies, Rubus saxatilis, Sorbus aucuparia, Vaccinium myrtillus" "2003-07-17" "2006-07-05" 21
"44" 45 "Vb Holmön" "Sweden" "Västerbotten" "Vb" "Umeå kommun" "Holmön socken" "Holmön, east of Bärmyran" "SE, Vb, Umeå kommun, Holmön socken, Holmön, east of Bärmyran" 63.78965 20.848683 "10 m" "boreal" "Malaise trap, Townes model" "Blueberry spruce forest next to pasture" "Forest: coniferous forest" "312°" 8 "Achillea millefolium, Calluna vulgaris, Carex nigra, Galium uliginosum, Juniperus communis, Leontodon autumnalis, Linnaea borealis, Maianthemum bifolium, Picea abies, Populus tremula, Ranunculus acris, Sorbus aucuparia, Taraxacum sp., Trifolium repens, Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-07-18" "2006-07-05" 40
"45" 46 "Vb Ammarnäs" "Sweden" "Lycksele lappmark" "Ly" "Sorsele kommun" "Sorsele socken" "Vindelfjällen NR, Ammarnäs, Tjulträsk, Laspen" "SE, Ly, Sorsele kommun, Sorsele socken, Vindelfjällen NR, Ammarnäs, Tjulträsk, Laspen" 65.966783 16.0605 "10 m" "alpine" "Malaise trap, Townes model" "Alpine downy birch forest" "Forest: boreal deciduous forest" "210°" 598 "Aconitum lycoctonum lycoctonum, Betula pubescens, Carex sp., Cicerbita alpina, Cornus suecica, Equisetum sylvaticum, Euphrasia stricta brevipila, Gymnocarpium dryopteris, Juniperus communis, Melampyrum sylvaticum, Potentilla argentea, Salix sp., Solidago virgaurea, Sphagnum spp., Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-07-19" "2006-01-02" 26
"46" 47 "Lu Muddus" "Sweden" "Lule lappmark" "Lu" "Jokkmokks kommun" "Jokkmokk socken" "Muddus NP, southern parking" "SE, Lu, Jokkmokks kommun, Jokkmokk socken, Muddus NP, southern parking" 66.769533 20.111383 "10 m" "boreal" "Malaise trap, Townes model" "Old-growth blueberry spruce forest" "Forest: coniferous forest" "180°" 213 "Betula pubescens, Empetrum nigrum, Equisetum sylvaticum, Picea abies, Populus tremula, Rhododendron tomentosum, Salix caprea, Vaccinium myrtillus, Vaccinium uliginosum" "2003-07-20" "2005-11-16" 20
"47" 48 "Lu Peltovaara" "Sweden" "Lule lappmark" "Lu" "Gällivare kommun" "Gällivare socken" "Ätnarova försökspark, Peltovaara" "SE, Lu, Gällivare kommun, Gällivare socken, Ätnarova försökspark, Peltovaara" 67.051717 20.3859 "10 m" "boreal" "Malaise trap, Townes model" "Lingonberry pine forest" "Forest: coniferous forest" "128°" 441 "Betula pubescens, Cladonia arbuscula, Cladonia rangiferina, Empetrum nigrum, Picea abies, Pinus sylvestris, Salix caprea, Vacciniuim vitis-idaea, Vaccinium myrtillus, Vaccinium uliginosum" "2003-07-20" "2006-01-04" 29
"48" 49 "Nb Vasikkavuoma" "Sweden" "Norrbotten" "Nb" "Pajala kommun" "Pajala socken" "Vasikkavuoma NR, east of camp" "SE, Nb, Pajala kommun, Pajala socken, Vasikkavuoma NR, east of camp" 67.229633 23.186667 "10 m" "boreal" "Malaise trap, Townes model" "Northern Equisetum hay-making marsh" "Open lush habitat" "260°" 169 "Betula nana, Betula pubescens, Comarum palustre, Equisetum fluviatile, Menyanthes trifoliata, Pinus sylvestris, Rhododendron tomentosum, Salix sp., Sphagnum spp., Vaccinium uliginosum" "2003-07-21" "2004-12-31" 12
"49" 50 "To Abisko Njakajaure" "Sweden" "Torne lappmark" "To" "Kiruna kommun" "Jukkasjärvi socken" "Abisko NP, east of heath at Njakajaure trail" "SE, To, Kiruna kommun, Jukkasjärvi socken, Abisko NP, east of heath at Njakajaure trail" 68.353867 18.78215 "10 m" "alpine" "Malaise trap, Townes model" "Dry sparse alpine downy birch forest" "Forest: boreal deciduous forest" "198°" 404 "Betula pubescens czerepanovii, Cladonia sp., Empetrum nigrum, Salix sp., Vacciniuim vitis-idaea" "2003-07-21" "2005-09-07" 31
"50" 51 "Vb Brännberget" "Sweden" "Västerbotten" "Vb" "Skellefteå kommun" "Skellefteå socken" "Brännberget NR, close to northern info sign" "SE, Vb, Skellefteå kommun, Skellefteå socken, Brännberget NR, close to northern info sign" 64.9128 20.499733 "10 m" "boreal" "Malaise trap, Townes model" "Rich blueberry spruce forest on limestone" "Forest: coniferous forest" "222°" 180 "Alnus incana, Betula pendula, Calypso bulbosa, Convallaria majalis, Cypripedium calceolus, Epipogium aphyllum, Fragaria vesca, Geranium sylvaticum, Juniperus communis, Listera ovata, Maianthemum bifolium, Picea abies, Pinus sylvestris, Platanthera chlorantha, Rubus saxatilis, Solidago virgaurea, Sorbus aucuparia, Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-07-23" "2004-09-27" 16
"51" 52 "Vb Kulbäcksliden Gammelskogsreservatet" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Gammelskogsreservatet" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Gammelskogsreservatet" 64.1851 19.573367 "10 m" "boreal" "Malaise trap, Townes model" "Old-growth blueberry spruce forest" "Forest: coniferous forest" "140°" 262 "Deschampsia flexuosa, Dicranum scoparium, Gymnocarpium dryopteris, Hylocomium splendens, Linnaea borealis, Luzula pilosa, Lycopodium annotinum annotinum, Maianthemum bifolium, Oxalis acetosella, Picea abies, Pleurozium schreberi, Polytrichum commune, Populus tremula, Ptilium crista-castrensis, Sorbus aucuparia, Trientalis europaea, Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-08-01" "2004-10-15" 16
"52" 53 "Vb Kulbäcksliden Kronmyran" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Degerö stormyr NR, Kronmyran" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Degerö stormyr NR, Kronmyran" 64.181717 19.55615 "10 m" "boreal" "Malaise trap, Townes model" "Sphagnum bog" "Open meagre damp habitat" "170°" 268 "Andromeda polifolia, Carex spp., Drosera rotundifolia, Juncus sp., Rubus chamaemorus, Sphagnum spp., Vaccinium oxycoccus" "2003-08-01" "2004-10-15" 14
"53" 54 "Vb Kulbäcksliden Kulbäcken" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Kulbäcken meadow" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Kulbäcken meadow" 64.190217 19.6057 "10 m" "boreal" "Malaise trap, Townes model" "Birch forest edge towards open meadow on alluvial sediment" "Forest: boreal deciduous forest" "175°" 155 "Agrostis capillaris, Angelica sylvestris, Betula pubescens, Calamagrostis purpurea, Cirsiuim helenioides, Epilobium angustifolium, Equisetum pratense, Filipendula ulmaria, Galium boreale, Geranium sylvaticum, Melampyrum pratense, Melampyrum sylvaticum, Polytrichum commune, Stellaria graminea, Trientalis europaea, Viola sp." "2003-08-01" "2004-10-15" 13
"54" 55 "Vb Kulbäcksliden Granliden" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Granliden" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Granliden" 64.192567 19.56695 "10 m" "boreal" "Malaise trap, Townes model" "Mature spruce forest" "Forest: coniferous forest" "180°" 216 "Agrostis capillaris, Cicerbita alpina, Deschampsia flexuosa, Gymnocarpium dryopteris, Hylocomium splendens, Linnaea borealis, Lycopodium annotinum annotinum, Maianthemum bifolium, Oxalis acetosella, Picea abies, Pleurozium schreberi, Polytrichum commune, Rubus saxatilis, Solidago virgaurea, Sorbus aucuparia, Sphagnum spp., Trientalis europaea, Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-08-01" "2004-10-15" 15
"55" 56 "Vb Kulbäcksliden clearcutting" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Gammnybränna S" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Gammnybränna W" 64.1448 19.588917 "10 m" "boreal" "Malaise trap, Townes model" "15 year old clearcutting with shrubs and scattered spruce and larch" "Open meagre damp habitat" "210°" 289 "Betula pendula, Deschampsia cespitosa, Deschampsia flexuosa, Epilobium angustifolium, Gymnocarpium dryopteris, Larix decidua, Linnaea borealis, Luzula pilosa, Lycopodium annotinum annotinum, Maianthemum bifolium, Melampyrum sylvaticum, Picea abies, Pleurozium schreberi, Polytrichum commune, Populus tremula, Rubus idaeus, Salix caprea, Trientalis europaea, Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-08-01" "2004-10-15" 15
"56" 57 "Vb Kulbäcksliden spruce plantation" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Gammnybränna W" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Storliden" 64.1545 19.593183 "10 m" "boreal" "Malaise trap, Townes model" "15 year old spruce plantation" "Forest: coniferous forest" "160°" 293 "Cladonia sp., Deschampsia cespitosa, Epilobium angustifolium, Hylocomium splendens, Maianthemum bifolium, Melampyrum sylvaticum, Picea abies, Pinus sylvestris, Pleurozium schreberi, Polytrichum commune, Solidago virgaurea, Trientalis europaea, Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-08-01" "2004-10-15" 13
"57" 58 "Vb Kulbäcksliden pine plantation" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Storliden" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Storliden" 64.1767 19.590267 "10 m" "boreal" "Malaise trap, Townes model" "40 year old pine plantation" "Forest: coniferous forest" "160°" 264 "Cladonia arbuscula, Cladonia rangiferina, Deschampsia cespitosa, Dicranum scoparium, Empetrum nigrum, Hylocomium splendens, Linnaea borealis, Luzula pilosa, Lycopodium complanatum, Melampyrum sylvaticum, Pinus sylvestris, Pleurozium schreberi, Polytrichum commune, Ptilium crista-castrensis, Trientalis europaea, Vacciniuim vitis-idaea, Vaccinium myrtillus" "2003-08-01" "2004-10-15" 15
"58" 59 "Vb Kulbäcksliden bog edge" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Degerö stormyr" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Degerö stormyr" 64.18165 19.559133 "10 m" "boreal" "Malaise trap, Townes model" "Pine forest at Sphagnum bog edge" "Forest: coniferous forest" "160°" 269 "Betula nana, Betula pubescens, Empetrum nigrum, Eriophorum vaginatum, Pinus sylvestris, Pleurozium schreberi, Rubus chamaemorus, Sphagnum spp., Vacciniuim vitis-idaea, Vaccinium myrtillus, Vaccinium oxycoccus, Vaccinium uliginosum" "2003-08-01" "2004-10-15" 14
"59" 60 "Vb Kulbäcksliden unthinned" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Kulbäcksliden research park, Storliden" "SE, Vb, Vindelns kommun, Degerfors socken, Kulbäcksliden research park, Storliden" 64.1786 19.586533 "10 m" "boreal" "Malaise trap, Townes model" "Dense 25 year old mixed coniferous forest" "Forest: coniferous forest" "160°" 260 "Deschampsia cespitosa, Deschampsia flexuosa, Epilobium angustifolium, Gymnocarpium dryopteris, Hylocomium splendens, Linnaea borealis, Luzula pilosa, Maianthemum bifolium, Picea abies, Pinus sylvestris, Pleurozium schreberi, Polytrichum commune, Solidago virgaurea, Trientalis europaea, Vaccinium myrtillus" "2003-08-01" "2004-10-15" 13
"60" 61 "Vb Svartberget" "Sweden" "Västerbotten" "Vb" "Vindelns kommun" "Degerfors socken" "Svartberget research park, Åheden" "SE, Vb, Vindelns kommun, Degerfors socken, Svartberget research park, Åheden" 64.230517 19.7851 "10 m" "boreal" "Malaise trap, Townes model" "Lichen-rich pine forest" "Forest: coniferous forest" "180°" 190 "Calluna vulgaris, Cladonia sp., Cladonia arbuscula, Cladonia rangiferina, Cladonia stellaris, Dicranum scoparium, Hylocomium splendens, Pinus sylvestris, Pleurozium schreberi, Vacciniuim vitis-idaea, Vaccinium uliginosum" "2003-08-01" "2004-10-14" 14
"61" 1000 "Sm Bäckebo Grytsjön aspen" "Sweden" "Småland" "Sm" "Nybro kommun" "Bäckebo socken" "Grytsjön NR" "SE, Sm, Nybro kommun, Bäckebo socken, Grytsjön NR" 56.921656 16.101228 "10 m" "boreonemoral" "Malaise trap, Townes model" "Old-growth aspen forest in boulder terrain" "Forest: boreal deciduous forest" "40°" 82 "Betula pendula, Fragaria vesca, Quercus robur, Rubus idaeus, Picea abies, Pinus sylvestris, Populus tremula, Vaccinium myrtillus, Vaccinium vitis-idaea" "2005-04-04" "2006-06-15" 19
"62" 1001 "Sm Bäckebo Grytsjön meadow" "Sweden" "Småland" "Sm" "Nybro kommun" "Bäckebo socken" "Grytsjön NR" "SE, Sm, Nybro kommun, Bäckebo socken, Grytsjön NR" 56.931407 16.085536 "10 m" "boreonemoral" "Malaise trap, Townes model" "Moist hay-making meadow at birch-spruce forest edge" "Open lush habitat" "200°" 81 "Betula pendula, Cirsium ravens, Filipendula ulmaria, Fragaria vesca, Picea abies, Pinus sylvestris, Poaceae spp., Populus tremula, Quercus robur, Rubus idaeus, Salix spp." "2005-04-04" "2006-06-15" 20
"63" 1002 "Vr Rudstorp" "Sweden" "Värmland" "Vr" "Munkfors kommun" "Ransäter socken" "Rudstorp" "SE, Vr, Munkfors kommun, Ransäter socken, Rudstorp" 59.772956 13.473714 "10 m" "boreal" "Malaise trap, Townes model" "Sandy railway bank through pasture land" "Open meagre dry habitat" "310°" 84 "Betula pendula, Poaceae spp." "2005-03-05" "2006-05-07" 18
"64" 1003 "Vr Ransberg herrgård" "Sweden" "Värmland" "Vr" "Munkfors kommun" "Ransäter socken" "Ransäter, Ransberg Herrgård" "SE, Vr, Munkfors kommun, Ransäter socken, Ransäter, Ransberg Herrgård" 59.790442 13.415169 "10 m" "boreal" "Malaise trap, Townes model" "Old-growth mixed deciduous forest in stream ravine" "Forest: nemoral deciduous forest" "30°" 115 "Acer platanoides, Angelica sylvestris, Convallaria majalis, Fragaria viridis, Fraxinus excelsior, Hieracium umbellatum, Lathyrus linifolius, Lathyrus pratensis, Picea abies, Plantago major, Populus tremula, Prunus padus, Ranunculus acris, Rubus idaeus, Rubus saxatilis, Sorbus aucuparia, Taraxacum spp., Trifolium pratense, Tussilago farfara" "2005-03-04" "2006-05-06" 13
"65" 1004 "Sk Kullaberg" "Sweden" "Skåne" "Sk" "Höganäs kommun" "Brunnby socken" "Kullaberg NR, between Hjortstugan and Ransvik" "SE, Sk, Höganäs kommun, Brunnby socken, Kullaberg NR, between Hjortstugan and Ransvik" 56.291622 12.482483 "10 m" "nemoral" "Malaise trap, Townes model" "Oak forest in southern slope" "Forest: nemoral deciduous forest" "300°" 75 "Allium ursinum, Anemone nemoros, Calluna vulgaris, Deschampsia flexuosa, Galium odoratum, Hepatica nobilis, Lamiastrum galeobdolon, Melampyrum pratense,Mercurialis perennis, Quercus robur, Stellaria nemorum" "2005-01-20" "2006-05-04" 8
"66" 1005 "Sk Sandhammaren beach" "Sweden" "Skåne" "Sk" "Ystad kommun" "Löderup socken" "Sandhammaren, Järahusen" "SE, Sk, Ystad kommun, Löderup socken, Sandhammaren, Järahusen" 55.398072 14.209383 "10 m" "nemoral" "Malaise trap, Townes model" "Coastal sand dunes at dry oak forest edge" "Open meagre dry habitat" "180°" 3 "Ammophila arenaria, Betula pendula, Leymus arenarius, Pinus sylvestris" "2005-01-19" "2006-02-10" 6
"67" 1006 "Sk Sandhammaren forest" "Sweden" "Skåne" "Sk" "Ystad kommun" "Löderup socken" "Sandhammaren, Järahusen" "SE, Sk, Ystad kommun, Löderup socken, Sandhammaren, Järahusen" 55.403781 14.199936 "10 m" "nemoral" "Malaise trap, Townes model" "Oak forest on coastal sand dunes" "Forest: nemoral deciduous forest" "180°" 11 "Calluna vulgaris, Convallaria majalis, Pinus sylvestris, Poaceae spp., Quercus robur" "2005-01-19" "2005-09-26" 6
"68" 1007 "To Abisko Nuolja" "Sweden" "Torne lappmark" "To" "Kiruna kommun" "Jukkasjärvi socken" "Abisko NP, Nuolja, eastern slope" "SE, To, Kiruna kommun, Jukkasjärvi socken, Abisko NP, Nuolja, eastern slope" 68.359492 18.719197 "10 m" "alpine" "Malaise trap, Townes model" "Alpine heath above tree line" "Open meagre damp habitat" "300°" 909 "Antennaria porsildii, Carex rupestris, Draba daurica, Epilobium anagallidifolium, Juncus biglumis, Phippsia algida, Sagina caespitosa, Sagina nivalis, Salix sp., Saxifraga tenuis" "2005-07-01" "2006-07-15" 11
"69" 1008 "Sm Alsterån" "Sweden" "Småland" "Sm" "Nybro kommun" "Kråkmåla socken" "Alsterbro, Alsterån" "SE, Sm, Nybro kommun, Kråkmåla socken, Alsterbro, Alsterån" 56.936536 15.920167 "10 m" "boreonemoral" "Malaise trap, Townes model" "Moist alder forest on alluvial sediment near spruce forest" "Forest: boreal deciduous forest" "130°" 108 "Alnus glutinosa, Betula pubescens, Fraxinus excelsior, Picea abies, Poaceae spp., Quercus robur, Salix sp., Sphagnum spp." "2005-04-20" "2006-10-13" 50
"70" 1353 "Lu Bombmurkleskogen" "Sweden" "Lule lappmark" "Lu" "Jokkmokks kommun" "Jokkmokk socken" "Messaure, Bombmurkleskogen NR" "SE, Lu, Jokkmokks kommun, Jokkmokk socken, Messaure, Bombmurkleskogen NR" 66.65206 20.3816 "10 m" "boreal" "Malaise trap, Townes model" "Herb-rich spruce forest near river" "Forest: coniferous forest" "DATA MISSING" 105 "-" "2005-07-07" "2005-10-28" 7
"71" 2003 "Sö Sofielundstippen cadaver dump" "Sweden" "Södermanland" "Sö" "Huddinge kommun" "Huddinge socken" "Sofielunds återvinningsanläggning" "SE, Sö, Huddinge kommun, Huddinge socken, Sofielunds återvinningsanläggning" 59.1731 17.98475 "10 m" "boreonemoral" "Malaise trap, Townes model" "Pine forest at garbage dump with small roadkill dump" "Forest: coniferous forest" "DATA MISSING" 85 "-" "2006-03-01" "2006-11-23" 9
"72" 2006 "Öl Skogsby Station Linné" "Sweden" "Öland" "Öl" "Mörbylånga kommun" "Torslunda socken" "Skogsby, Station Linné" "SE, Öl, Mörbylånga kommun, Torslunda socken, Skogsby, Station Linné" 56.619 16.49732 "10 m" "nemoral" "Malaise trap, Townes model" "Lawn in garden with sandy soil" "Open lush habitat" "270°" 44 "Anthyllis vulneraria, Anthriscus sylvestris, Juniperus communis, Luzula pilosa, Medicago lupulina, Medicago sativa, Poaceae spp., Primula veris, Prunus spinosa, Rumex acetosa, Senecio jacobaea, Succisa pratensis, Taraxacum spp., Trifolium pratense," "2007-04-11" "2008-11-04" 27
"73" 2046 "Sm Påboda" "Sweden" "Småland" "Sm" "Torsås Kommun" "Söderåkra socken" "Påboda" "SE, Sm, Torsås Kommun, Söderåkra socken, Påboda" 56.4347232 16.0708442 "10 m" "boreonemoral" "Malaise trap, Townes model" "Lush garden with shrubs and herbs on sandy soil" "Open lush habitat" "170°" 10 "Acer platanoides, Betula spp., Catalpa bignoniodes, Crataegus sp., Fallopia sachalinensis, Fraxinus excelsior, Gunnera manicata, Liriodendron tulipifera, Malus domestica, Miscanthus sp., Platanus acerifolia, Prunus domestica, Prunus domestica ssp. insititia, Prunus duracina, Rheum spp., Robinia pseudoacacia, Salix x pendulina, Syringa vulgaris, Thuja occidentalis" "2008-01-01" "2009-01-01" 15
"74" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "TOTAL" 1919
